#Parameters = {FSS=70; FSSX=1; FSSY=-1; MT=0.018; T=0.13; epsilon=8.897084845; g=-10; gl=15; gw=26; hg=18; hgl=-3; hgnd1up=0; hgw=0.5; hgx1=15; hgy1=10; hsll=1.5; hslw=14.5; n=2; phanup=50; phanx=0; phany=0; pl=26; plusex=0; plusey=0; plusl=6.5; plusw=2.5; plusx=4; plusy=4; pw=23; r=17.35655495771; sl=24; sll=-10; sll1=-16; slot1side=0; slot1up=-1; slot2side=0; slot2up=-8; slw=0.5; slw1=0.5; stripl=19; stripw=1.5; stubl=2; stubw=0.5; stubx=-2.5; stw=0.5; stw1=0; sty=1; sw=30; tand=0.521143134; x=17}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
2.2119998931885	-7.0597865306681
2.2160000801086	-7.0710914730540
2.2200000286102	-7.0816135866180
2.2239999771118	-7.0916619127674
2.2279999256134	-7.1015266912641
2.2320001125336	-7.1114710107098
2.2360000610352	-7.1217231925525
2.2400000095367	-7.1324697345026
2.2439999580383	-7.1438596206303
2.2479999065399	-7.1560005155187
2.2520000934601	-7.1689697241550
2.2560000419617	-7.1828211468280
2.2599999904633	-7.1975920226460
2.2639999389648	-7.2133210281261
2.2679998874664	-7.2300484980912
2.2720000743866	-7.2478385432634
2.2760000228882	-7.2667780850651
2.2799999713898	-7.2869902497460
2.2839999198914	-7.3086286129212
2.2880001068115	-7.3318804048744
2.2920000553131	-7.3569607149326
2.2960000038147	-7.3841067311111
2.2999999523163	-7.4135652322884
2.3039999008179	-7.4455770926732
2.3080000877380	-7.4803746113952
2.3120000362396	-7.5181541905936
2.3159999847412	-7.5590750283029
2.3199999332428	-7.6032492396019
2.3239998817444	-7.6507256345779
2.3280000686646	-7.7014960579595
2.3320000171661	-7.7554924256152
2.3359999656677	-7.8125888426093
2.3399999141693	-7.8726163548171
2.3440001010895	-7.9353695073632
2.3480000495911	-8.0006226228615
2.3519999980927	-8.0681541078348
2.3559999465942	-8.1377505600897
2.3599998950958	-8.2092339768295
2.3640000820160	-8.2824679082411
2.3680000305176	-8.3573691903597
2.3719999790192	-8.4339098374879
2.3759999275208	-8.5121138123396
2.3800001144409	-8.5920442566638
2.3840000629425	-8.6737911239370
2.3880000114441	-8.7574441225569
2.3919999599457	-8.8430750317039
2.3959999084473	-8.9306969620082
2.4000000953674	-9.0202512499225
2.4040000438690	-9.1115713587484
2.4079999923706	-9.2043724274658
2.4119999408722	-9.2982352896351
2.4159998893738	-9.3926042188592
2.4200000762939	-9.4868053520474
2.4240000247955	-9.5800690291648
2.4279999732971	-9.6715598547945
2.4319999217987	-9.7604388601635
2.4360001087189	-9.8459135531674
2.4400000572205	-9.9273047810009
2.4440000057220	-10.004095931325
2.4479999542236	-10.076009902207
2.4519999027252	-10.143013404088
2.4560000896454	-10.205363578871
2.4600000381470	-10.263581918296
2.4639999866486	-10.318441964012
2.4679999351501	-10.370916493276
2.4719998836517	-10.422120048997
2.4760000705719	-10.473218462381
2.4800000190735	-10.525375704931
2.4839999675751	-10.579648688280
2.4879999160767	-10.636932109695
2.4920001029968	-10.697882816228
2.4960000514984	-10.762862076582
2.5000000000000	-10.831903475742
2.5039999485016	-10.904673876653
2.5079998970032	-10.980474553755
2.5120000839233	-11.058244580137
2.5160000324249	-11.136617643052
2.5199999809265	-11.213960569913
2.5239999294281	-11.288472585041
2.5280001163483	-11.358295943263
2.5320000648499	-11.421661234100
2.5360000133514	-11.476985720860
2.5399999618530	-11.523051023994
2.5439999103546	-11.559064733317
2.5480000972748	-11.584759491783
2.5520000457764	-11.600405598895
2.5559999942780	-11.606792400256
2.5599999427795	-11.605157595857
2.5639998912811	-11.597088537823
