FREQ,S11
10.71000004,-1.969625284
10.72500038,-1.976561228
10.73999977,-1.984037199
10.75500011,-1.991850876
10.77000046,-1.999789071
10.78499985,-2.007641351
10.80000019,-2.015208298
10.81499958,-2.022314841
10.82999992,-2.02881417
10.84500027,-2.034597546
10.85999966,-2.039603897
10.875,-2.043813178
10.89000034,-2.047254534
10.90499973,-2.050006477
10.92000008,-2.052184276
10.93500042,-2.053938957
10.94999981,-2.055449191
10.96500015,-2.056910607
10.97999954,-2.058524305
10.99499989,-2.060487676
11.01000023,-2.062981773
11.02499962,-2.066164633
11.03999996,-2.070160305
11.05500031,-2.075051033
11.06999969,-2.080877656
11.08500004,-2.087631079
11.10000038,-2.09525201
11.11499977,-2.103633133
11.13000011,-2.112630397
11.14500046,-2.122055446
11.15999985,-2.131694983
11.17500019,-2.14131707
11.18999958,-2.150677706
11.20499992,-2.15953694
11.22000027,-2.16767223
11.23499966,-2.174880826
11.25,-2.180997645
11.26500034,-2.185901361
11.27999973,-2.189519796
11.29500008,-2.191829721
11.31000042,-2.192864047
11.32499981,-2.192704914
11.34000015,-2.191480579
11.35499954,-2.189356271
11.36999989,-2.186527053
11.38500023,-2.183204558
11.39999962,-2.179607735
11.41499996,-2.175948746
11.43000031,-2.172422073
11.44499969,-2.169193689
11.46000004,-2.166396555
11.47500038,-2.164115906
11.48999977,-2.162392246
11.50500011,-2.161211027
11.52000046,-2.160514222
11.53499985,-2.160189893
11.55000019,-2.160090219
11.56499958,-2.160027981
11.57999992,-2.15979779
11.59500027,-2.159171827
11.60999966,-2.157928068
11.625,-2.155848948
11.64000034,-2.152742681
11.65499973,-2.148450987
11.67000008,-2.142855801
11.68500042,-2.135888173
11.69999981,-2.127540327
11.71500015,-2.117850419
11.72999954,-2.1069192
11.74499989,-2.094891447
11.76000023,-2.081960133
11.77499962,-2.068348698
11.78999996,-2.054304098
11.80500031,-2.040083618
11.81999969,-2.025943979
11.83500004,-2.012125642
11.85000038,-1.998843561
11.86499977,-1.986282083
11.88000011,-1.974580446
11.89500046,-1.963823581
11.90999985,-1.954053678
11.92500019,-1.945251607
11.93999958,-1.937351996
11.95499992,-1.930238022
11.97000027,-1.923754076
11.98499966,-1.91771407
12,-1.911904882
12.01500034,-1.906106107
12.02999973,-1.900097902
12.04500008,-1.893672598
12.06000042,-1.886648439
12.07499981,-1.878875724
12.09000015,-1.870254496
12.10499954,-1.860728524
12.11999989,-1.850298487
12.13500023,-1.839016297
12.14999962,-1.826991493
12.16499996,-1.814373312
12.18000031,-1.801353878
12.19499969,-1.788153191
12.21000004,-1.775010315
12.22500038,-1.762170877
12.23999977,-1.749873799
12.25500011,-1.738341247
12.27000046,-1.727765833
12.28499985,-1.718305617
12.30000019,-1.710070393
12.31499958,-1.703123286
12.32999992,-1.697471243
12.34500027,-1.693071683
12.35999966,-1.689826948
12.375,-1.687597196
12.39000034,-1.686197463
12.40499973,-1.685420541
12.42000008,-1.68502975
12.43500042,-1.684787437
12.44999981,-1.684456646
12.46500015,-1.683818071
12.47999954,-1.68268015
12.49499989,-1.6808911
12.51000023,-1.678343936
12.52499962,-1.674988974
12.53999996,-1.670830099
12.55500031,-1.665928097
12.56999969,-1.660399351
12.58500004,-1.654408633
12.60000038,-1.64816011
12.61499977,-1.641889585
12.63000011,-1.635848166
12.64500046,-1.630294421
12.65999985,-1.62547939
12.67500019,-1.621636485
12.68999958,-1.618966253
12.70499992,-1.617631181
12.72000027,-1.617743107
12.73499966,-1.619365958
12.75,-1.622498214
12.76500034,-1.627090441
12.77999973,-1.633033446
12.79500008,-1.640171776
12.81000042,-1.648303538
12.82499981,-1.6571967
12.84000015,-1.666598509
12.85499954,-1.67624191
12.86999989,-1.685875766
12.88500023,-1.69525564
12.89999962,-1.704171741
12.91499996,-1.712459346
12.93000031,-1.720001419
12.94499969,-1.726743302
12.96000004,-1.732690657
12.97500038,-1.737911682
12.98999977,-1.742534703
13.00500011,-1.746742231
13.02000046,-1.750760507
13.03499985,-1.75485093
13.05000019,-1.759293574
