,BGL,FREQ,S11,S11_Scaled,S11_Derivative,S11_Mean,S11_Std,S11_Min,S11_Max
25,100,0.389999986,-7.17282712,0.8478392254147822,4.276196324449888,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10028,100,0.3974999935,-7.1368782045,0.8486868478679493,4.534690382177009,,,,
26,100,0.405000001,-7.100929289,0.8495344703211164,4.793183940149417,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10029,100,0.41249999400000004,-7.061129835,0.85047288279796,5.0498911316702975,,,,
27,100,0.419999987,-7.021330381,0.8514112952748034,5.306598819492189,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10030,100,0.4274999945,-6.977750233,0.8524388509449361,5.558639948045352,,,,
28,100,0.435000002,-6.934170085,0.8534664066150688,5.810680589319447,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10031,100,0.44249999500000003,-6.8869196294999995,0.8545805027274862,6.055373364820906,,,,
29,100,0.449999988,-6.839669174,0.8556945988399036,6.300066613395491,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10032,100,0.457499996,-6.7888936645,0.8568918105311214,6.535063897662394,,,,
30,100,0.465000004,-6.738118155,0.8580890222223392,6.770060711935207,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10033,100,0.4724999965,-6.683993795,0.8593651948734808,6.9933244002224955,,,,
31,100,0.479999989,-6.629869435,0.8606413675246224,7.216588549921928,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10034,100,0.487499997,-6.5725983889999995,0.8619917343946875,7.426360152454705,,,,
32,100,0.495000005,-6.515327343,0.8633421012647524,7.636131321459906,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10035,100,0.5024999975,-6.4551310285,0.8647614416553717,7.831157105628071,,,,
33,100,0.50999999,-6.394934714,0.866180782045991,8.026183292850018,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10036,100,0.517499983,-6.332048751,0.8676635403847741,8.20549309864331,,,,
34,100,0.524999976,-6.269162788,0.8691462987235573,8.384802892482634,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10037,100,0.5324999985000001,-6.2038320595,0.8706867010302239,8.547770600637035,,,,
35,100,0.540000021,-6.138501331,0.8722271033368907,8.710737667787047,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10038,100,0.5475000139999999,-6.07097431,0.8738192909842506,8.857174147586761,,,,
36,100,0.555000007,-6.003447289,0.8754114786316106,9.003611203370427,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10039,100,0.5625,-5.933970217000001,0.8770496456079553,9.133614724707018,,,,
37,100,0.569999993,-5.864493145,0.8786878125843001,9.263618246043675,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10040,100,0.5774999860000001,-5.793309244,0.8803662240732817,9.37740695224651,,,,
38,100,0.584999979,-5.722125343,0.8820446355622631,9.491195658449294,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10041,100,0.5925000014999999,-5.649469954000001,0.8837577425698998,9.589276091081397,,,,
39,100,0.600000024,-5.576814565,0.8854708495775365,9.687356137931598,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10042,100,0.607500017,-5.5029113899999995,0.8872133775403159,9.77056083708716,,,,
40,100,0.61500001,-5.429008215,0.8889559055030951,9.853765863514798,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10043,100,0.6225000025,-5.354069711499999,0.8907228449862443,9.922788158695209,,,,
