FREQ,S11
10.45499992,-1.997815389
10.47000027,-1.993629999
10.48499966,-1.989635732
10.5,-1.986027983
10.51500034,-1.982987281
10.52999973,-1.98067641
10.54500008,-1.979224383
10.56000042,-1.978725542
10.57499981,-1.979235223
10.59000015,-1.980765135
10.60499954,-1.983281986
10.61999989,-1.986712428
10.63500023,-1.990943896
10.64999962,-1.995831679
10.66499996,-2.001203058
10.68000031,-2.006870743
10.69499969,-2.012634948
10.71000004,-2.018300954
10.72500038,-2.023683853
10.73999977,-2.028620532
10.75500011,-2.032974172
10.77000046,-2.036648157
10.78499985,-2.039584738
10.80000019,-2.041769717
10.81499958,-2.043235062
10.82999992,-2.044056494
10.84500027,-2.044345486
10.85999966,-2.044249975
10.875,-2.043939883
10.89000034,-2.043604163
10.90499973,-2.043432737
10.92000008,-2.04361425
10.93500042,-2.044322713
10.94999981,-2.045707723
10.96500015,-2.04788891
10.97999954,-2.050944704
10.99499989,-2.054914591
11.01000023,-2.059791283
11.02499962,-2.06552346
11.03999996,-2.072014849
11.05500031,-2.079130213
11.06999969,-2.086703885
11.08500004,-2.094539222
11.10000038,-2.102427844
11.11499977,-2.110151685
11.13000011,-2.117499975
11.14500046,-2.124269825
11.15999985,-2.130291964
11.17500019,-2.135425202
11.18999958,-2.139570078
11.20499992,-2.142672245
11.22000027,-2.144725653
11.23499966,-2.145773297
11.25,-2.145902727
11.26500034,-2.145242023
11.27999973,-2.143950645
11.29500008,-2.142217901
11.31000042,-2.140241346
11.32499981,-2.138221824
11.34000015,-2.136355097
11.35499954,-2.134813038
11.36999989,-2.133746394
11.38500023,-2.133261602
11.39999962,-2.13342828
11.41499996,-2.134268478
11.43000031,-2.135755427
11.44499969,-2.137814512
11.46000004,-2.140329819
11.47500038,-2.143141294
11.48999977,-2.146062924
11.50500011,-2.148882723
11.52000046,-2.151378021
11.53499985,-2.153328393
11.55000019,-2.154520482
11.56499958,-2.154766643
11.57999992,-2.153910938
11.59500027,-2.151836456
11.60999966,-2.148479024
11.625,-2.143821488
11.64000034,-2.137902697
11.65499973,-2.130809033
11.67000008,-2.122677329
11.68500042,-2.113682121
11.69999981,-2.104026681
11.71500015,-2.093934261
11.72999954,-2.083640902
11.74499989,-2.073371488
11.76000023,-2.063339325
11.77499962,-2.053733376
11.78999996,-2.044704893
11.80500031,-2.036363758
11.81999969,-2.02877577
11.83500004,-2.021949932
11.85000038,-2.015855375
11.86499977,-2.01040555
11.88000011,-2.005475307
11.89500046,-2.000902663
11.90999985,-1.996498723
11.92500019,-1.99205767
11.93999958,-1.987369926
11.95499992,-1.982233097
11.97000027,-1.976459993
11.98499966,-1.969894966
12,-1.962418074
12.01500034,-1.953959242
12.02999973,-1.944492894
12.04500008,-1.934052678
12.06000042,-1.922718601
12.07499981,-1.910619459
12.09000015,-1.897927911
12.10499954,-1.884848547
12.11999989,-1.87160789
12.13500023,-1.858445279
12.14999962,-1.845601675
12.16499996,-1.833301869
12.18000031,-1.821750913
12.19499969,-1.811119609
12.21000004,-1.801540391
12.22500038,-1.793095889
12.23999977,-1.785819794
12.25500011,-1.779694819
12.27000046,-1.774650967
12.28499985,-1.770570356
12.30000019,-1.767297809
12.31499958,-1.764641374
12.32999992,-1.762385117
12.34500027,-1.760304016
12.35999966,-1.758168324
12.375,-1.755761591
12.39000034,-1.752891677
12.40499973,-1.749398233
12.42000008,-1.745163866
12.43500042,-1.740119074
12.44999981,-1.734250423
12.46500015,-1.727595462
12.47999954,-1.720248884
12.49499989,-1.712349977
12.51000023,-1.704079031
12.52499962,-1.695650223
12.53999996,-1.687296081
12.55500031,-1.679258712
12.56999969,-1.671775643
12.58500004,-1.665072839
12.60000038,-1.659345618
12.61499977,-1.654753185
12.63000011,-1.651416014
12.64500046,-1.649402485
12.65999985,-1.648724012
12.67500019,-1.649343055
12.68999958,-1.651171003
12.70499992,-1.654069247
12.72000027,-1.657860821
12.73499966,-1.662333392
12.75,-1.667259557
12.76500034,-1.672395215
12.77999973,-1.677505561
12.79500008,-1.682370358
12.81000042,-1.686797057
12.82499981,-1.6906324
12.84000015,-1.693769298
12.85499954,-1.696160372
12.86999989,-1.697810413
12.88500023,-1.698785535
12.89999962,-1.699209063
12.91499996,-1.699251279
12.93000031,-1.699127026
12.94499969,-1.699079936
12.96000004,-1.699374739
12.97500038,-1.700281647
12.98999977,-1.702064691
13.00500011,-1.704968535
13.02000046,-1.709206312
13.03499985,-1.714949323
13.05000019,-1.72232064
13.06499958,-1.731387983
13.07999992,-1.74215962
13.09500027,-1.754585694
13.10999966,-1.768559587
13.125,-1.783923797
13.14000034,-1.800477505
13.15499973,-1.817983766
13.17000008,-1.836185777
13.18500042,-1.854817555
13.19999981,-1.873620997
13.21500015,-1.892355579
13.22999954,-1.910814876
13.24499989,-1.92883895
13.26000023,-1.946323874
13.27499962,-1.96322785
13.28999996,-1.979576119
13.30500031,-1.995460724
13.31999969,-2.011039917
13.33500004,-2.026524638
13.35000038,-2.042179365
13.36499977,-2.058297996
13.38000011,-2.075202766
13.39500046,-2.0932182
13.40999985,-2.112665348
13.42500019,-2.133839889
13.43999958,-2.157002502
13.45499992,-2.182368831
13.47000027,-2.210094811
13.48499966,-2.240272831
13.5,-2.272932204
13.51500034,-2.30802777
13.52999973,-2.34545148
13.54500008,-2.385033612
13.56000042,-2.42654947
13.57499981,-2.469739643
13.59000015,-2.514312485
13.60499954,-2.559963124
13.61999989,-2.60639547
13.63500023,-2.653335463
13.64999962,-2.700541557
13.66499996,-2.747834587
13.68000031,-2.79509089
13.69499969,-2.842270875
13.71000004,-2.889409653
13.72500038,-2.936626581
13.73999977,-2.984115686
13.75500011,-3.032147069
13.77000046,-3.08104605
